,25,50,100,200,Journeys,,,Needs,,,,,,,,,,,,Professional Goals,,,,,,,,,,,,,,Personal Goals,,,,,,,,,,
,50,,,Updating Pro action plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,Updating Personal action plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,,,Declaring a Pro Goal achieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200,,Declaring a Personal Goal achieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,Adding Star experiences (per each),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50,Chatting with BOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,100,Adding a new BOA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,,Energy Update ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,,Adding walkaround numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,Addign Rose/Thorns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,,,Taking an Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,Adding to Vault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,,Updating Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,"Updating Financial, Time, Location, Travel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,"Updating Values, Purpose, Vision",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,"Updating Story of You, Ideas,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,100,Updating References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2175,950,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mastery - max talents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Freedom - choice matrix for future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Legacy - Recieving or Giving to purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,300,Invite a friend ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,25,25,Read an article (depending on article/solution read),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,300,100,100,Completing a full solution or Journey bonus?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,300,Complete 2 coaching sessions bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,300,Complete 5 coaching sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,300,Have a full BOA bonus for one month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Streak of time ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,15 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,15,15,15,30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,50,50,50,1 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,Streak of days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,50 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,75 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,"quarterly progress reward (a=100, b=50, c=25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,100 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,150 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,"2nd Quarter progress reward (a=100, b=50, c=25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,200 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,250 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,"3rd Quarter Progress Reward (a=100, b=50, c=25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,10,10,300 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0, , , ,365 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,"Annual Progress reward (a=500, b = 250, c=100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Need to understand freezes or forgiveness l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
