depart,Module,Feature,User Story,Pre-Condition,Acceptance Criteria,Validations,Error cases,Note,Client Comments
US_11,Homescreen,Search,"As a user, I want to perform search so that I can search for the specific preference",The user should be on the Home screen and have clicked on Search box ,"The user by clicking on Search box will get redirected to the search screen where they will view the following options:

- The user will view the ""Search for Products"" ,  ""Search for Services"" ,  ""Search for Vendors""  
- By default, they will view ""Search for Products"" and the text on search screen will dynamically changed to above mentioned options

1.  The user by tapping on search bar will activate cursor with the help of which user would be able to perform the search operation.
2. As soon as user start typing in (one character is typed into the ""Search"" field) a cross button will be activated and result will start to display according to keyin words.
2.11 Tapping on the cross button will clear the search bar and results. 
2.2 The searching will be case insensitive.
2.3 The searching will be from DB
2.3 By default, the search box will be unfilled.

3. The user will view the Recent Searches on the basis of their previous search history.
- By clicking on Clear all the user will be able to clear their recent search
- The user while searching will view the list of items
- The user can view the Products, Services, Vendors list 
. The user will be able to filter by tapping on the filter Icon
- Note : The searching result of Products/Services/Vendors will be based on the logic using which the modules are displayed on the Home Screen. (Ref. Business Logic under US_!0)

Search results will be categories w.r.t. Vendor, Services and Products. By default the Vendor tab will be selected.
Search result filters will include following:
- For Products: Sort By, Order Type (Rent, Purchase, Service (with checkbox for multiple selection), Departments with ability to select multiple departments and view the result accordingly.
- For Services: Sort By, Departments( as above) only
- For Vendor: Departments ( only the on-boarding time selected departments will be displayed and user can filter the result based on made selection of the available departments).
** Vendor will be searched on Business Name throughout the application.

N ote: when user refresh search/vendor/product/service sort and filter should not be removed by pull to refresh",,,Filters under Search need to be discussed with the Client.,
US_12,Vendor,Vendor Detail,"As a user, I want to access the Vendor detail screen so that I can have the required details, helping me in placing the order/request.","1. The exiting user must have tapped on the icon from their phone which will redirect them to the Homescreen.
2. The new user have to register themsleves on the application to get redirected to the homescreen,    
3. From the Home screen, User needs to click on any vendor to visit his/her Profile screen.","- Verify that under Vendor profile/detail screen, I will be able to view following details:

* Background image
* Vendor company logo
* Vendor Company Name
* Departments names with which Vendor deals
* Ability to add the Vendor under My Favourite section, Once done, the heart icon will be in filled state and clicking on the same will perform the unfavourite action.
* Ability to view below complete vendor company detail by clicking on the available 'i' info icon:
* *Brief description about the company
** Establishment Year as Established
** Location
** Email Id
** Website link
The above details will be displayed in a pop-up, usr can click on the (x) icon in order to close the same.

- Verify that I will be able to search a particular product or service by its name.

- Verify that I will be able to see list of Categories with their name and image under which the Vendor's products & services lies. I will be able to scroll from Right-Left to view all categories available. Clicking on any specific categories will update the product and service list accordingly.

- Verify that I will be able to view list of all products that are available for buying or renting or both with each product having following details:
* Product Image
* Name
* Discounted Price with indication of percent value OFF.
*Product type tag > ( Rent, Buy, Rent/Buy) 
Note: Product price (Will be show with discounted price if applied). Note: Two different prices will be displayed if product is available for both buy and rent.
* Ability to view complete list of available products by clicking on 'View All' option.
* Abolity to view the detail screen of the product by clicking on the card.
* Ability to mark the product as Favourite/Unfavourite them

- Verify that I will be able to view the banner image uploaded by Vendor with no redirection and for advertisement purpose only.

- Any product mrked as featured product from the Vendor panel by the vendor while creating product; will reflect on the top under product cards (Swipe right-left) and tapping to the view all, all the products whether marked as featured or not will display in listing on new screen. (5 to 8 cards)

- Verify that I will be able to view list of all services that are available for availing with following details:
* Service Image
* Name Service name with short description
* Original Price/Hr
* Discounted Price/Hr 
* Ability to view complete list of available service by clicking on 'View All' option.
* Ability to view the detail screen of the service by clicking on the card.
* Ability to mark the service as Favourite/Unfavourite them

-Verify that I will be able to navigate back to previous screen with the help of available option.

- Any service marked as featured service from the Vendor panel by the vendor while creating service; will reflect on the top under service cards (Swipe right-left) and tapping to the view all, all the services whether marked as featured or not will display in listing on new screen. (5 to 8 cards)",,,,
US_13,Hamburger Menu,Notifications Settings,"As a user, I want to view the noitification settign so that Ican perform appropriate actions",The user should be on the settings screen then by clicking on the Notifications they will view be redirected to notification settings screen,"The user by clicking on the Notification section will get reditrected to the Notifcation settings screen where they will view:
1. The user will view the PUSH  NOTIFICATION toggle button by tapping on which the user will be able to turn it on./Off
-- By default, it will be ""ON"" state

- The user will also view the back icon by clicking on which they will be taken back to setting screen

",,,,
US_14,Hamburger Menu,Help>FAQs,"As a user, I want to access the FAQ section in order to find solutions for my queries.""","User should have Clicked on the ""FAQs"" option on the ""Settings"" screen.","On the FAQ screen the user will view the following details:
1. The user will view the Question and answers posted by the Admin from the Admin panel.
2. On clicking 'down arrow' icon the user will view the answer within the specific question.
2.1 The user by clicking on ' up aarow' icon will be able to close the answer.",,,,
US_15,Hamburger Menu,My Favourites,"As a user, I want to view the My favourites section so that I can view them","User should have Clicked on the ""My Favourites"" option on the ""Menu"" screen.","On the My favourites section the user will be able to view the following details:
1. The user will view 3 segmented tabs:
- Products
- Services
- Vendors

-- By default,  the user will land on Products tab where they will view :
2.  The user will be able to view the Product card with following options:
2.1 Image of the product
2.2 Product name with short description
2.3 Product type tag > ( Rent, Buy, Rent/Buy) 
2.4 Product price (Will be show with discounted price if applied)
2.5 The user will also view the discount % on the card
2.6  The user by clicking on the Product card will get redirected to the Product detail screen where they can view all the details related to the product
2.7 The user will also view the Favourites icon in the filled form, If user clicks on that icon they will view the promp on confirming which the product will be removed from the Favourites list.

3. The user by clicking on the Services tab will view the Services detail:
3.1 Image of the Service , name with short description
3.3 Service type tag > ( Rent, Buy, Rent/Buy) 
3.4 Service price (Will be show with discounted price if applied)
3.5 The user will also view the discount % on the card
3.6  The user by clicking on the Service card will get redirected to the Service detail screen where they can view all the details related to the Service 
3.7 The user will also view the Favourites icon in the filled form, If user clicks on that icon they will view the promp on confirming which the Service will be removed from the Favourites list
3.8 By clicking on the Service card will redirect the user to the detail screen

4. The user by clicking on the Vendor tab will view the Vendor detail:
4.1  Image  
4.2 Address
4.3 The user will also view the Favourites icon in the filled form, If user clicks on that icon they will view the promp on confirming which the Vendor will be removed from the Favourites list.
4.4 By clicking on the Service card will redirect the user to the detail screen",,,,
US_16,Hamburger Menu,My Profile ,"As a user, I want to view the My Profile so that I can change the account settings according to my requirement","User should have Clicked on the ""My Profile"" option on the ""Menu"" screen.","On the Profile screen the user wil view the following option:
1. Profile Image
- Name
- Contact number
- Email

2. Edit Profile
3. Manage Addresses
4. Manage Payment Method
5. Manage Set Location.



",,,,
US_17,My Profile ,View Profile,"As a user, I want to view the My Profile so that I can change the account settings according to my requirement","User should have Clicked on the ""My Profile"" option on the ""Menu"" screen.","On the view Profile screen the user will view the follwoing details:
-First Name
- Last Name
- Contact number
- Email
- Image

By clicking on Edit icon present over Image the user will be able to edit the profile image

- The user will view following details

1. Prefilled phone number

1.2. The user will then view the Update My phone number button by clicking on which they will get redirected to the Update phone number screen with folloiwng options:
- The user will view the enter Phone number field with country code
- The user after entering the phone number will view the higlhighted contiue button which will redirect them to the ""OTP verification"" screen.
- On clicking back from  Update phone number screen the user will be taken back to the Phone number settings screen.

- On clicking back from  ""OTP verification"" screen, the user will move back to the  Update phone number screen.

- The phone number once updated can be seen on the Phone number settings screen.

1.3. On clicking back will redirect the user to the settings screen.

2. Email id
- User will view the entered email 
- User will also view the Verify email button by clicking on which they will be able to verify their email as well. Verification process will include same process of OTP verification as followed under Mobile no. update.

3. First Name and Last Name with an ability to edit and save them.

- Verify that if after making the changes in the profile section if the user tries to leave the screen without saving the made changes then user will be prompted with alert confirmation message: Do you want to save or discard changes?, and based on the option selected(Discard, Save Changes) the action will be performed.

Note: As discussed with Arjun, The designs flow for updating mobile and email via OTP process is under discuss

 
",,,,
US_18,My Profile ,Edit Profile,"As a user, I want to edit my profile so that I can make better use of the platform by updating it..",The user should have clicied on the Edit profile option which redirects them to Edit profile screen,"On the Edit profile screen the user will view te following prefillled fields which can be updated by clicking on them:
1. First Name
2. Last name
3. Email Address
4. Mobile number
5. Update Profile Picture
If the user edits anything the Updated button will get highlighted and on clicking which the details edited will get updated.
","1. First name
- Special characters not allowed

2. Last name
- Space not allowed
- Special characters not allowed


2. Email ID:
2.1. It should contain “@” and “sub-domain_ name. Domain_name”
2.2. Input allowed: Alphanumeric with special character allowed. No space allowed


3. Phone number
3.1. minimum number of digits for a mobile number is 5 [Country:Saint Helena]
&
Max digits for a mobile number is 13 [Country: Austria ]

3.2 Usually country code is 1–3 digits

Need to show functionality in the App to ask for permission to access gallery, camera, and location. These permissions ensure that only trusted applications can access sensitive information on the device, protecting your privacy and security. When granting permissions, it's a good practice to review why an app needs access to these features before allowing it. That way, you can be sure that your personal data is used appropriately.",,,
US_19,My Profile ,Manage Addresses,"As a user, I want to manage address so that I can update irt whenever needed","1. The user should have clicked on the Manage Addresses option which redirects them to the Manage Addresses screen

2. On the home screen if the user has clicked on the Address field from the top, they will get redirected to 'Find Location'  screen","- By clicking on the Manage address screen the user will view the following details:

1. List of Addresses added
- The user will view the list of addresses added by the user with Edit and Delete options
- One Primary Location can not be deleted but can be edited
- For Primary Address I can view the tag 'Primary Location'
- On the other address cards I can view a button 'Make a primary address' by tapping on which that specific card will denote as the primary address and others will not be highlighted as primary anymore.
- Each added address will be displayed in the following order:
* Apartment/Suit Name(in bold)
* Building Name
* Complete address with Zip code

- By clicking on the added address card, I will be navigated to the detail screen where I will be able to edit the address details and save them.
- By clicking on delete address the user will view the confirmation popup and on selecting OK the card will get deleted and removed from the List.
- I can also view and tap on 'Add a new address' CTA to add a new address which will take me to a new screen.

2. Add New AddressThe user by clicking on the Address will view the following input fields:
- First user will be navigated to a screen where he will be able to search for a specific location , the provided address will have a Zip code as well. Once the location is selected the same will be reflected under the location field below
- Location
- Apartment/Suite
- Building name
- Landmark(optional)
Note: While adding new address, user will not see the list of added address.

3. The user will also view the radio button for Drop-off options:
- Hand it to me
- Leave it at Location
- The user will be able to select any one of the above

4. After filling all the mandatory fields the user will be able to click on the Add address button on which the user will get redirected to the Address listing screen where they can view their added address on top.","- Location: Min. 3 and Max. 100 characters allowed.
** Following error message should be prompted if the entered characters are less than 3 , ""Min. 3 Characters allowed"".

** Following error message should be prompted if the entered characters are more than 100 , ""Max. 100 Characters allowed"".

- Apartment/Suits: Min. 3 and Max. 100 characters allowed.
** Following error message should be prompted if the entered characters are less than 3 , ""Min. 3 Characters allowed"".

** Following error message should be prompted if the entered characters are more than 100 , ""Max. 100 Characters allowed"".

-Building Name: Min. 3 and Max. 100 characters allowed.
** Following error message should be prompted if the entered characters are less than 3 , ""Min. 3 Characters allowed"".

** Following error message should be prompted if the entered characters are more than 100 , ""Max. 100 Characters allowed"".

-Landmark: Min. 3 and Max. 100 characters allowed.
** Following error message should be prompted if the entered characters are less than 3 , ""Min. 3 Characters allowed"".

** Following error message should be prompted if the entered characters are more than 100 , ""Max. 100 Characters allowed"".

** Need to show functionality in the App to ask for permission to access gallery, camera, and location. These permissions ensure that only trusted applications can access sensitive information on the device, protecting your privacy and security. When granting permissions, it's a good practice to review why an app needs access to these features before allowing it. That way, you can be sure that your personal data is used appropriately.",,,
US_20,My Profile ,Manage Payment,"As a user, I want ti view the payment section so that I can purchase ",The user should have clicked on the Manage Payment option which redirects them to Manage Payment screen,"On the Manage Payment screen the user will view the following details:
1. The user will view the list of cards added details such as:
Card number (Last 4 digit will be shown)
Expiry Date
Delete option
Card logo

2. The user will also view the Add Credit/Debit Card button clicking on which they will get redirected to the Add Card screen
- Enter Card number
- Enter Expiry date
- Enter CVV
- Enter Card holder name

The user by entering all the fields will be able to click on the Add details button clicking on which they will view the Confriamtion popup","For CVV:

Format: Validate that the CVV consists of the expected number of digits (usually 3 for Visa/MasterCard and 4 for American Express).
Numeric: Allow only numeric input for the CVV.
Required Field: Confirm that the CVV is a required field.

For Cardholder Name:

Format: Ensure that the name contains only alphabetic characters.
Required Field: Confirm that the cardholder name is a required field.
Minimum and Maximum Length: Set a range for the name length (e.g., 2-50 characters).",,,
US_21,Hamburger Menu,Privacy Policy,"As a user, I want to view the Privacy Policy  of the app so that i can get all the details about the app Privacy Policy ","User should have Clicked on the ""Privacy Policy"" option on the ""Menu"" screen.","1. The user will be displayed with the following attributes on the ""Privacy Policy "" screen:
   - Privacy Policy(Header)
   - Back Button(Header)
   - App Logo
   - Content

2. User can click on the ""Back"" button to close the ""Privacy Policy"" screen & get redirected to the ""Menu"" screen.
",,,,
US_22,Hamburger Menu,Terms & Conditions ,"As a user, I want to view the Terms & Conditions  of the app so that i can get all the details about the app Terms & Conditions ","User should have Clicked on the ""Terms & Conditions "" option on the ""Settings"" screen.","1. The user will be displayed with the following attributes on the ""Terms & Conditions "" screen:
   - Terms & Conditions (Header)
   - Back Button(Header)
   - App Logo
   - Content

2. User can click on the ""Back"" button to close the ""Terms of Service"" screen & get redirected to the ""Menu"" screen.
","10,000 characters",,,
US_23,Hamburger Menu,Contact Us,"As a user, I want to view the Contact Us  of the app so that i can get all the details about the app Contact Us","User should have Clicked on the ""Contact Us "" option on the ""Hamburger"" screen.","1. The user will be displayed with the following attributes on the ""Contact Us"" screen:
   -Placeholder text: Contact Us
   - Email
   - Mobile Number
  
2. By clicking on mobile the user will be redirected to their phone's screen
3. By clicking on email the user will get redirected to the mail","Email ID:
2.1. It should contain “@” and “sub-domain_ name. Domain_name”
2.2. Input allowed: Alphanumeric with special character allowed. No space allowed


3. Phone number
3.1. minimum number of digits for a mobile number is 5 [Country:Saint Helena]
&
Max digits for a mobile number is 13 [Country: Austria ]

3.2 Usually country code is 1–3 digits
",,,
US_24,Settings,Delete Account,"As a user, I should be able to delete my account if I have found someone or if I do not want to use the platform anymore.","The user must have tapped on the ""Delete account"" option from the settings screens .","1. Users can delete their account if they do not want to use the platform 

2. Users will view the Confirmation popup on clicking delete account and they will Get OTP on phone no. to delete


",** TO BE COVERED IN PHASE-2**,,,
US_25,Settings,Deactiate  Account,"As a user, I want to deactivate my account so that I can remove from my details from the Platform",,"By clicking on the deactivate account the user will view the Confirmation poup 
- If user clicks on Confirm then in that case they will Get OTP on phone no. to deactivate
",** TO BE COVERED IN PHASE-2**,,,
US_26,Settings,Logout,"As a user, I want to log out of my account so that I can Keep it secure","The user must have tapped on the ""Logout"" option from the settings screens .  ","1. On the """"Logout"""" pop-up, User would view the following details:
   -Placeholder Text: Are you sure you want to log out?
   -Cancel: By tapping on the """"Cancel"""" option, the pop-up would be discarded and User would be on the same page.
   -Log out: By tapping on the """"Log out"""" option, the User will be logged out from the platform and will be redirected to the """"Login"""" page.""    ",,,,
US_27,Product Detail,Product Detail,"As a user, i want to view the product detail screen so that I can view all the specifications related to the product",The user must have clicked on the Product card which will redirect the user to the Details screen," On the Product detail screen the user will  view the follwoing details:
- Product Image
-- There can be a multiple images which can be viewed by swiping right
Note: There can be single product video if uploaded by vendor related to the product and the video needs to be played within the application.

- The user will view the Name of Product 
- If the Product is available for Rent and Purchase their tags will be shown woth following details
-- For rent: Amount/Day with Original price, Discount Price and %  value off (Note Discount price will be calculated based on Orginal Price and % value off )
-- For purchase: Amount with Original price, Discount Price and %  value off (Note Discount price will be calculated based on Orginal Price and % value off )

The user will then view the following details in the accordian view:

1.  Description of the product
2. Key Attributes, It will includes title and associated descriptions
3. Purchase details
- Under this the user will view the Shipping details & Payments, Returns & Refunds options such as :
Shipping
-- Shipping fee information
-- Delivery day information
Payments
- Supported  Cards/payment methods ( To be covered in next phase)
Return and Refund details

4. Lead time
Under this the user will view the estimated time within which the Product will get delivered.

4. Seller Details
- The user by clicking on the seller details will view it with following options:
-- Business Name
-- Seller/Vendor Logo
-- Associated departments list
-- Ability to visit vendor profile with available option

5. Similar Products
- The user can view the similar products by swiping right
-  Products displayed in card view will belong to only those department  related to which the product detail is being visited. (TBD)


6. The user will then view the CTA (PART OF PHASE 2SCOPE)
- Start Order
- Add to Cart


7. On clicking Add to cart the user will view the confirmation popup stating that product has been added to the cart succssfully
8. On clicking the Start order the user will be able to procced to purchase that product",,,,
US_28,Service Detail,Service Detail,"As a user, i want to view the Service detail screen so that I can view all the specifications related to the Service ",The user must have clicked on the Service card which will redirect the user to the Details screen," On the Service detail screen the user will  view the following details:
- Service Image
-- There can be a multiple images which can be viewed by swiping right.
Note: There can be single service video if uploaded by vendor related to the product and the video needs to be played within the application.


- The user will view the Name of Service 
-Service Original Price:  Amount/Hr (striked off)
-Service Final Price:  Amount/Hr
(Note: If you write a 1 followed by nine zeros, you get 1,000,000,000 = one billion)
- Discount Percentage
The user will then view the following details in the accordian view:

1.  Description of the Service 
2. Key Attributes, It will includes title and associated descriptions
3. Purchase details
- Under this the user will view the Payments, Returns & Refunds options such as :
3.1` Payments
- Supported  Cards/payment methods ( To be covered in next phase)
3.2 Return and Refund details

4. Seller Details
- The user by clicking on the seller details will view it with following options:
-- Business Name
-- Seller/Vendor Logo
-- Associated departments list
-- Ability to visit vendor profile with available option.

5. Similar Service
- The user can view the similar Service by swiping right.

6. The user will view the Favourite icon clicking on which they will be able to add that service to My favourites",,"Note: If you write a 1 followed by nine zeros, you get 1,000,000,000 = one billion",,
US_29,Notification ,Notifications,"As a user, I want to view the notifications so that I may be informed and guided by clicking on them.",The user should be able to view the Notification icon by clicking on which they will be able to read the notification,"On the Notifcations screen the user will be able to view the following details:
1. The user will view the Admin sent notification with ""TEAM REEL TREK""
2. The user can view the Timestamp

3. The user can view the Notification message.

4. By clicking on the notification the user will be able to read it on the popup.
- The user will view the ""Ok"" button by clicking on the pop will be closed and user will  taken to notification screen

5. The unread notification will be shown with Higlighted colour

6. The read notification will be shown with White colour.

7. By swiping left the user will be able to view ther remove button by tapping on which they will be able to remove the notification.
7.1 The user will view the confirmation message here

Business Rules:
1. There will be a vertical scrolling in the screen
2. The notifications will be sorted on the  basis of most recent notification on top.
3. The notification will be marked as read when the user clicks on it.","Timespan:
Just Now : For 3 to 5 seconds

“X” Seconds: For 6 seconds to 59 seconds

“X” Minutes: For 1 minute to 59 minutes

“X” Hours: For 1hour to 23hrs 59 minutes”

“week day name”, ”xx” AM/PM: For 1day to 7 days(Saturday 12:00AM)

“Date(DD/MM/YYYY)”, “xx” AM/PM: For 7 days to forever(12/12/2021 12:00AM",,,
US_30,,,,,,,,,
US_32,,,,,,,,,
US_33,,,,,,,,,
US_34,,,,,,,,,
US_35,,,,,,,,,
US_36,,,,,,,,,
US_37,,,,,,,,,
US_38,,,,,,,,,
US_34,,,,,,,,,
US_35,,,,,,,,,
US_36,,,,,,,,,
US_37,,,,,,,,,
US_38,,,,,,,,,
US_39,,,,,,,,,
US_40,,,,,,,,,
