Consolidated Report,,,,,
Total Paramters,,,,,
Prameters Passed,,,,,
Parameters Failed,,,,,
Quality score,,,,,
,,,,,
Technology,Name,Version,,3rd Parties,Comments
,Encryption on Highly Sensitive data,N/A,Does highly sensitive data is encrypted. i.e passwords,,
,Connection Credentials Security,N/A,Database connection credentilas are managed from secrets and used from env file,,
Authentication & Password Management,Auth failure with proper HTTP Code,N/A,Authnetication failure should be happeining using proper HTTP codes. Using http codes is considered as good praoctice,,
,Password Hashing,N/A,"Password hashing, like bcrypt implemented ?",Use of django auth module,
,Password Length (8 to 40 Chars),N/A,Password length should be 8 to 40 characters ,Use of django auth module,
,Temp account block on invalid password attempts,No,On invalid password attempts used should be blocked. This makes system secure from hackers.,,
,Max email limit on password recovery,No,There should be max email sent limit per customer on password recovery. This stops ddos attacks and increase security.,,
,Password Reuse,No,Old password should not be resuable after change,,
,Notify User on password reset,,Always notify users by email or sms on password change.,,
,MFA Used,No,Multi factor authentication adds additional layer for security using sms or authenticator code.,,
,Do Password expire after a certain period,No,Does customer password expire after a time period. ?,,
,All Session expire on Password Change,No,When user changes the password . Its mandatory that all active sessions should be expired ,,
Error Handling and Logging,Use of Try Catch ,Yes,Try Catch block implemented for handling the errors,Exception handling done (TRY/EXCEPT),
,Proper Http Code Implementation,Yes,Proper HTTP code implementation done in the code.,,
,Log Management,Yes,Does project have any log management where all logs data gets stored.,Log are written with type and on respective files,
,Logging Sensitive Information,Yes,Project should not log sensitive data in the logs.,Logger is used,
,Logging Input validations,No,Input validations should be logged in the log management,,
,Logging Auth attempts,N/A,Does Auth attempts of user be logged ?,,
,Logging ACL failures,Yes,,,
,Logging System Exceptions,Yes,All system exceptions should be logged in the log management,,
,Access Restriction on log management,N/A,Log management should not be shared to all teams,,
,Use of Circuit Breakers,N/A,"A circuit breaker is a design pattern used to improve the resilience and fault tolerance of distributed systems. It is commonly used in microservices architectures where there are multiple services communicating with each other.



",,
Data Protection,Encryption on Highly Sensitive data,Yes,Does highly sensitive data is encrypted. i.e passwords,,
,"Passwords, connection string managed by env",No,All connection password should be managed from ENV,"No production values used, still hard code value used in manhy places",
,URLS working on HTTPS,N/A,All urls should be working on HTTPS and TLS encrypted.,,
,API document accessible on production,No,API documentation should not be accessible on production.,,
,Credential managed from Secret Manager,Yes,All credentials should be managed from secret manager,,
,Unused Code Removed,N/A,Unused code or commented code should be removed,No Unused or Commented  code found,
File Management,Cloud Storage Used,No,Any cloud storage used to store files,,
,Authentication before file upload,Yes,Files should be authenticated before upload using signed url ,,
,File extension validation,N/A,FIle extension validations should be implemented.,,
,CDN Used,Yes,Cloudfront ,,
,Private files and document not accessible publically,Yes,Private files should not accessed publicaly. Should be accessed using signed URL,,
,Proper folder structuring of assets,Yes,Proper public and private files strucutre followed,,
,File Upload keys managed properly,N/A,File upload keys should be managed from backend not from frontend and not exposed to anyone.,,
API Performance & Monitoring,API Performance Monitoring Tool Used,N/A,Any api performance monitoring tool used to review the performance of apis,,
,Unit Test Cases available,N/A,Does project have unit test cases,,
,Server Side Caching,Yes,Does any server side caching used in the project like redis or memcache.,,
NPM Modules,Latest NPM Modules Version Used,N/A,NPM modules used in the project are upgareded to latest version. Any module with old version or unsupported version can create unexpected errors or compatibility issuses.,,
Multiligual ,Does code supports multilingual Capabilities?,N/A,Multilingual support requries in the product to support different languages accross the globe.,,
Optimization ,Does  Clustering used ?,N/A,Clustering is required to improve  performance of nodejs application.,,
,Does Redis Used in the application?,Yes,Redis is in memory datastore and a popular tool to cache data. ,It use at some extent,
,Run Tasks in parallel,N/A,Parallelizing tasks has a great impact on the performance of your API. It reduces latency and minimizes blocking operations.,,
